iter	Passed	Remaining
0	56	56297
1	56	28302
2	57	18976
3	57	14311
4	57	11511
5	58	9642
6	58	8313
7	58	7312
8	59	6532
9	59	5905
10	60	5395
11	60	4967
12	60	4606
13	61	4305
14	61	4039
15	61	3805
16	62	3599
17	62	3415
18	62	3251
19	63	3104
20	63	2968
21	63	2844
22	64	2734
23	64	2632
24	65	2538
25	65	2450
26	65	2368
27	66	2293
28	66	2223
29	66	2159
30	67	2098
31	67	2042
32	67	1988
33	68	1939
34	68	1890
35	68	1845
36	69	1803
37	69	1763
38	70	1725
39	70	1688
40	70	1654
41	71	1619
42	71	1588
43	71	1557
44	72	1529
45	72	1501
46	72	1475
47	73	1450
48	73	1425
49	73	1401
50	74	1379
51	74	1358
52	74	1337
53	75	1317
54	75	1297
55	75	1278
56	76	1260
57	76	1243
58	76	1226
59	77	1210
60	77	1194
61	77	1179
62	78	1165
63	78	1151
64	79	1138
65	79	1125
66	79	1112
67	80	1099
68	80	1086
69	80	1074
70	81	1062
71	81	1050
72	81	1040
73	82	1029
74	82	1018
75	82	1008
76	83	998
77	83	988
78	84	979
79	84	969
80	84	960
81	85	952
82	85	941
83	85	932
84	85	924
85	86	916
86	86	907
87	86	899
88	87	891
89	87	884
90	87	877
91	88	870
92	88	862
93	88	855
94	89	849
95	89	842
96	89	836
97	90	829
98	90	823
99	90	817
100	91	811
101	91	805
102	91	800
103	92	795
104	92	789
105	92	784
106	93	779
107	93	774
108	94	770
109	94	765
110	94	760
111	95	756
112	95	751
113	96	746
114	96	741
115	96	737
116	97	732
117	97	728
118	97	723
119	98	720
120	98	715
121	98	710
122	99	706
123	99	702
124	99	699
125	100	695
126	100	690
127	100	687
128	101	684
129	101	680
130	101	676
131	102	672
132	102	669
133	102	665
134	103	661
135	103	658
136	104	655
137	104	651
138	104	648
139	105	645
140	105	641
141	105	637
142	105	634
143	106	631
144	106	628
145	106	625
146	107	622
147	107	619
148	107	616
149	108	614
150	108	611
151	109	609
152	109	606
153	109	603
154	110	601
155	110	598
156	110	595
157	111	593
158	111	590
159	111	587
160	112	584
161	112	581
162	112	578
163	113	576
164	113	574
165	113	571
166	114	569
167	114	566
168	114	564
169	115	562
170	115	560
171	115	557
172	116	555
173	116	553
174	117	551
175	117	549
176	117	547
177	118	545
178	118	542
179	118	540
180	118	538
181	119	536
182	119	534
183	120	532
184	120	530
185	120	528
186	121	526
187	121	524
188	121	522
189	122	520
190	122	518
191	122	516
192	123	514
193	123	512
194	123	511
195	124	509
196	124	507
197	124	505
198	125	504
199	125	502
200	125	500
201	126	498
202	126	496
203	126	494
204	127	493
205	127	491
206	127	489
207	128	488
208	128	486
209	128	485
210	129	483
211	129	481
212	129	480
213	130	478
214	130	477
215	131	475
216	131	474
217	131	472
218	132	471
219	132	469
220	132	468
221	133	466
222	133	465
223	133	463
224	134	462
225	134	460
226	134	458
227	135	457
228	135	456
229	135	454
230	136	453
231	136	451
232	136	450
233	137	449
234	137	448
235	138	446
236	138	445
237	138	444
238	139	442
239	139	441
240	139	440
241	140	438
242	140	437
243	140	436
244	141	434
245	141	433
246	141	432
247	142	430
248	142	429
249	142	428
250	143	426
251	143	425
252	143	424
253	144	422
254	144	421
255	144	420
256	145	419
257	145	418
258	145	417
259	146	415
260	146	414
